"동별(1)",동별(2),2025 3/4,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"동별(1)",동별(2),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대),세대 (세대)
"합계",소계,4505357,3330317,3383169,3430528,3455665,3448124,3456575,3498506,3458511,3490616,3540492,3570228,3623929,3714697,3780305,3871024,3978938,4046086,4097562,4116660,4224181,4192752,4177970,4182351,4194176,4189948,4189839,4220082,4263868,4327605,4417954,4426007,4446296,4469417,4482063
"합계",종로구,72402,78169,75752,74952,73798,72488,72027,72919,69668,69581,69935,70085,70113,70288,70408,69982,70925,71968,74660,74315,77621,76688,75659,73693,73101,72645,72118,73594,73735,73947,75003,73494,72524,72067,72166
"합계",중구,64259,61495,59667,57566,55032,53096,50141,49516,46072,47969,53964,55409,54521,54487,54419,55101,56642,57473,58174,58249,61468,61475,61546,60600,59960,59321,59651,60412,61502,62739,63686,63519,63139,64714,64995
"합계",용산구,103187,96696,96832,94248,94534,93163,92705,91201,88418,88684,90547,92239,91735,93262,94788,97324,101479,104720,106966,107456,113204,112617,110706,109361,108429,107512,106607,107666,108974,110126,113093,111036,109805,107825,103241
"합계",성동구,132994,244272,244888,245399,244808,113262,110970,111887,110157,117701,119842,121565,123394,126592,128964,131725,133864,135655,128658,126670,129644,126148,125848,126447,125814,126714,128727,132902,137209,135838,135870,134233,133305,133089,131953
"합계",광진구,171265,-,-,-,-,129613,132324,136909,136557,136023,137934,139190,141367,144687,145430,147077,150736,154017,155676,156140,159675,158472,158534,159173,158524,158353,158390,160798,162606,164428,167427,167949,169291,170077,169931
"합계",동대문구,176040,149914,149094,148308,146186,141352,136771,136360,132854,130678,136644,138849,143014,146457,148168,152613,155667,156777,156267,153437,158485,157823,157650,159256,159880,159941,159426,159938,161820,164191,167598,168219,169873,172801,172840
"합계",중랑구,188870,132908,136876,140153,141855,142869,152349,154699,152846,152485,153386,152708,154085,156511,158283,159674,163509,167665,171183,171448,176096,175115,174313,174938,176714,176390,177400,179132,180511,181579,185920,185712,187413,188097,188651
"합계",성북구,199326,165634,163995,163286,162700,163304,162195,162586,162931,162442,159916,158642,159810,167475,169704,177456,185805,187024,190713,192990,201489,199398,197992,196693,193359,190973,188304,187112,186601,192592,195396,195017,197082,196800,196485
