"자치구별(1)",자치구별(2),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생
"합계",종로구,5021,4705,4459,4057,3690,3846,3102,2712,3138,2981,2765
"합계",중구,5231,4954,4584,4184,4030,4327,3411,2861,3071,3348,2955
"합계",용산구,3799,3820,4137,4060,3411,3313,2969,2381,2967,3021,3322
"합계",성동구,3582,3358,3026,2767,2457,2512,2362,2112,2194,2023,2117
"합계",광진구,6268,5909,5322,4646,3915,4011,3601,3087,3619,3424,2870
"합계",동대문구,4363,4720,4787,3975,3680,3692,3401,2959,3253,2957,3216
"합계",중랑구,5353,5193,5041,4571,4288,4268,3726,3210,3599,3324,3169
"합계",성북구,4606,4154,3744,3434,3042,2877,2567,2411,2749,2411,2184
"합계",강북구,4030,4257,4229,3393,3437,3838,2770,2301,2832,2497,2289
"합계",도봉구,3124,2664,2438,1999,2249,2110,2179,1860,2141,1921,1741
"합계",노원구,5312,5130,4543,4209,4007,4153,3743,3425,3896,3567,3101
"합계",은평구,5431,4745,4501,3883,3590,3880,3390,3244,3487,3493,3217
"합계",서대문구,4194,4029,3665,3113,2802,2943,2533,2278,2374,2385,2054
"합계",마포구,5740,5854,5873,5278,5172,4842,3688,3540,4096,3834,3891
"합계",양천구,4642,4528,4112,3882,3515,3214,3216,3015,3169,3019,3000
"합계",강서구,5289,5585,5450,5135,4629,4924,4415,3896,4663,4296,4008
"합계",구로구,5389,5646,5366,4895,4810,4707,4175,3486,3857,3737,3378
"합계",금천구,3842,3781,3645,3265,3293,3105,2598,2439,2577,2240,2017
"합계",영등포구,7003,6867,6322,5969,5840,5820,5217,4179,4819,4418,4167
"합계",동작구,3869,4074,3227,3330,3100,3400,3200,2631,2735,2642,2454
"합계",관악구,6781,6345,5678,5525,5026,5328,5261,4444,4879,4769,4485
"합계",서초구,5558,5444,4989,4708,4726,5542,4601,3656,4459,4522,3788
"합계",강남구,8851,8617,8149,7720,7513,7304,7356,6146,6947,6763,6107
"합계",송파구,8004,6778,6090,5576,5807,5698,5410,4714,5167,5223,5174
"합계",강동구,5392,5244,4462,4261,3919,4014,3788,3458,3711,3398,3350
