연도,지역,인구수,범죄건수,범죄율,평균소득
2014,강남구,237375.0,8851,3728.7,2412178
2014,강동구,185905.0,5392,2900.41,1898998
2014,강북구,141246.0,4030,2853.18,1468551
2014,강서구,234378.0,5289,2256.61,2121727
2014,관악구,248180.0,6781,2732.29,1620741
2014,광진구,158524.0,6268,3953.98,1788230
2014,구로구,172594.0,5389,3122.36,2062891
2014,금천구,103940.0,3842,3696.36,2153786
2014,노원구,221107.0,5312,2402.46,1550019
2014,도봉구,136977.0,3124,2280.67,1472321
2014,동대문구,159880.0,4363,2728.92,1818111
2014,동작구,172389.0,3869,2244.34,1881929
2014,마포구,169492.0,5740,3386.59,2283681
2014,서대문구,134780.0,4194,3111.74,1877476
2014,서초구,173469.0,5558,3204.03,2666834
2014,성동구,125814.0,3582,2847.06,2042650
2014,성북구,193359.0,4606,2382.1,1728470
2014,송파구,257207.0,8004,3111.89,2177424
2014,양천구,179069.0,4642,2592.3,1726874
2014,영등포구,168100.0,7003,4165.97,2728605
2014,용산구,108429.0,3799,3503.68,2180357
2014,은평구,202187.0,5431,2686.13,1513342
2014,중구,59960.0,5231,8724.15,2865653
2014,중랑구,176714.0,5353,3029.19,1595331
2015,강남구,237373.0,8617,3630.15,2477743
2015,강동구,180508.0,5244,2905.13,1964518
2015,강북구,141088.0,4257,3017.27,1510498
2015,강서구,238952.0,5585,2337.29,2187588
2015,관악구,249191.0,6345,2546.24,1669579
2015,광진구,158353.0,5909,3731.54,1832328
2015,구로구,172321.0,5646,3276.44,2121337
2015,금천구,103847.0,3781,3640.93,2194374
2015,노원구,219768.0,5130,2334.28,1605707
2015,도봉구,136903.0,2664,1945.9,1520042
2015,동대문구,159941.0,4720,2951.09,1871441
2015,동작구,170495.0,4074,2389.51,1917661
2015,마포구,171480.0,5854,3413.81,2326481
2015,서대문구,135770.0,4029,2967.52,1981819
2015,서초구,173007.0,5444,3146.69,2706868
2015,성동구,126714.0,3358,2650.06,2141397
2015,성북구,190973.0,4154,2175.18,1787412
2015,송파구,256611.0,6778,2641.35,2214289
2015,양천구,179512.0,4528,2522.39,1786697
2015,영등포구,167863.0,6867,4090.84,2806587
2015,용산구,107512.0,3820,3553.09,2327359
2015,은평구,203410.0,4745,2332.73,1548901
2015,중구,59321.0,4954,8351.17,2922120
2015,중랑구,176390.0,5193,2944.04,1645088
2016,강남구,234080.0,8149,3481.29,2556670
2016,강동구,177460.0,4462,2514.37,1992023
2016,강북구,141229.0,4229,2994.43,1549998
2016,강서구,245045.0,5450,2224.08,2266834
2016,관악구,251955.0,5678,2253.58,1701159
2016,광진구,158390.0,5322,3360.06,1874423
2016,구로구,172220.0,5366,3115.78,2199729
2016,금천구,104483.0,3645,3488.61,2250370
2016,노원구,219736.0,4543,2067.48,1659871
2016,도봉구,136898.0,2438,1780.89,1574698
2016,동대문구,159426.0,4787,3002.65,1908983
2016,동작구,172506.0,3227,1870.66,1954235
2016,마포구,169432.0,5873,3466.29,2301901
2016,서대문구,136766.0,3665,2679.76,2022494
2016,서초구,173970.0,4989,2867.74,2787295
2016,성동구,128727.0,3026,2350.71,2214343
2016,성북구,188304.0,3744,1988.27,1833635
2016,송파구,258382.0,6090,2356.98,2308369
2016,양천구,177434.0,4112,2317.48,1851848
2016,영등포구,165729.0,6322,3814.66,2906795
2016,용산구,106607.0,4137,3880.61,2369072
2016,은평구,201891.0,4501,2229.42,1609273
2016,중구,59651.0,4584,7684.7,3001390
2016,중랑구,177400.0,5041,2841.6,1675382
2017,강남구,231612.0,7720,3333.16,2633949
2017,강동구,177407.0,4261,2401.82,2074680
2017,강북구,142533.0,3393,2380.5,1607661
2017,강서구,254257.0,5135,2019.61,2328332
2017,관악구,255352.0,5525,2163.68,1775793
2017,광진구,160798.0,4646,2889.34,1949150
