안전비상벨설치연도,최종지역,설치대수,누적설치대수
2003,용산구,2,2
2004,광진구,14,14
2004,동작구,1,1
2004,영등포구,13,13
2005,광진구,4,18
2005,구로구,9,9
2005,동대문구,2,2
2005,마포구,3,3
2005,중랑구,5,5
2006,관악구,8,8
2006,광진구,73,91
2006,구로구,9,18
2006,동대문구,26,28
2006,동작구,17,18
2006,마포구,30,33
2006,성북구,19,19
2006,영등포구,75,88
2006,용산구,28,30
2006,중랑구,1,6
2007,강남구,4,4
2007,강동구,3,3
2007,광진구,57,148
2007,구로구,32,50
2007,동대문구,20,48
2007,동작구,5,23
2007,마포구,30,63
2007,성동구,4,4
2007,성북구,31,50
2007,영등포구,49,137
2007,용산구,17,47
2007,중랑구,2,8
2008,강동구,1,4
2008,관악구,3,11
2008,광진구,16,164
2008,구로구,1,51
2008,동대문구,51,99
2008,동작구,10,33
2008,마포구,31,94
2008,용산구,81,128
2008,은평구,34,34
2008,중랑구,72,80
2009,강동구,25,29
2009,관악구,37,48
2009,광진구,72,236
2009,구로구,31,82
2009,동대문구,55,154
2009,동작구,28,61
2009,마포구,30,124
2009,서대문구,2,2
2009,성동구,5,9
2009,성북구,16,66
2009,영등포구,35,172
2009,용산구,44,172
2009,은평구,39,73
2009,중랑구,66,146
2010,강동구,42,71
2010,관악구,51,99
2010,광진구,85,321
2010,구로구,92,174
2010,동대문구,85,239
2010,동작구,56,117
2010,마포구,44,168
2010,서대문구,23,25
2010,성동구,30,39
2010,성북구,77,143
2010,양천구,1,1
2010,영등포구,7,179
2010,용산구,105,277
2010,은평구,12,85
2010,중랑구,110,256
2011,강동구,7,78
2011,관악구,111,210
2011,광진구,32,353
2011,구로구,5,179
2011,동대문구,59,298
2011,동작구,36,153
2011,마포구,54,222
2011,서대문구,4,29
2011,성동구,4,43
2011,성북구,35,178
2011,영등포구,19,198
2011,용산구,37,314
2011,은평구,3,88
2011,중랑구,21,277
2012,강남구,1,5
2012,강동구,2,80
2012,강서구,1,1
2012,관악구,47,257
2012,광진구,41,394
2012,구로구,86,265
2012,동대문구,42,340
2012,동작구,32,185
2012,마포구,82,304
2012,서대문구,7,36
2012,성동구,47,90
2012,성북구,34,212
2012,영등포구,9,207
2012,용산구,32,346
2012,은평구,7,95
2012,중랑구,19,296
2013,강남구,1,6
2013,강동구,59,139
2013,강서구,110,111
2013,관악구,266,523
2013,광진구,73,467
2013,구로구,77,342
2013,동대문구,11,351
2013,동작구,7,192
2013,마포구,26,330
2013,서대문구,17,53
2013,성동구,52,142
2013,성북구,101,313
2013,영등포구,2,209
2013,용산구,50,396
2013,은평구,11,106
2013,종로구,2,2
2013,중랑구,209,505
2014,강남구,22,28
2014,강동구,31,170
2014,강서구,260,371
2014,관악구,47,570
2014,광진구,46,513
2014,구로구,87,429
2014,동대문구,17,368
2014,동작구,143,335
2014,마포구,61,391
2014,서대문구,11,64
2014,성동구,40,182
2014,성북구,107,420
2014,양천구,1,2
2014,영등포구,66,275
2014,용산구,41,437
2014,은평구,16,122
2014,중랑구,62,567
2015,강남구,167,195
2015,강동구,65,235
2015,강서구,71,442
2015,관악구,150,720
2015,광진구,50,563
2015,구로구,66,495
2015,금천구,2,2
2015,동대문구,32,400
2015,동작구,25,360
2015,마포구,156,547
2015,서대문구,9,73
2015,성동구,105,287
2015,성북구,85,505
2015,양천구,32,34
2015,영등포구,126,401
2015,용산구,63,500
2015,은평구,55,177
2015,중랑구,94,661
2016,강남구,207,402
2016,강동구,110,345
2016,강북구,4,4
2016,강서구,99,541
2016,관악구,52,772
2016,광진구,19,582
2016,구로구,50,545
2016,금천구,25,27
2016,도봉구,554,554
2016,동대문구,123,523
2016,동작구,65,425
2016,마포구,121,668
2016,서대문구,36,109
2016,성동구,67,354
2016,성북구,165,670
2016,양천구,85,119
2016,영등포구,280,681
2016,용산구,82,582
2016,은평구,67,244
2016,종로구,42,44
2016,중랑구,73,734
2017,강남구,117,519
2017,강동구,229,574
2017,강북구,17,21
2017,강서구,128,669
2017,관악구,47,819
2017,광진구,50,632
2017,구로구,90,635
2017,금천구,217,244
2017,노원구,61,61
2017,동대문구,37,560
2017,동작구,33,458
2017,마포구,87,755
2017,서대문구,85,194
2017,성동구,182,536
2017,성북구,79,749
2017,양천구,234,353
2017,영등포구,163,844
2017,용산구,47,629
2017,은평구,24,268
2017,종로구,10,54
2017,중랑구,61,795
2018,강남구,167,686
2018,강동구,192,766
2018,강북구,1,22
2018,강서구,27,696
2018,관악구,77,896
2018,광진구,63,695
2018,구로구,91,726
2018,금천구,256,500
2018,도봉구,110,664
2018,동대문구,63,623
2018,동작구,37,495
2018,마포구,89,844
2018,서대문구,51,245
2018,서초구,4,4
2018,성동구,112,648
2018,성북구,177,926
2018,양천구,268,621
2018,영등포구,102,946
2018,용산구,35,664
2018,은평구,53,321
2018,종로구,40,94
2018,중랑구,65,860
2019,강남구,104,790
2019,강동구,117,883
2019,강서구,39,735
2019,관악구,60,956
2019,광진구,51,746
2019,구로구,70,796
2019,금천구,70,570
2019,도봉구,75,739
2019,동대문구,65,688
2019,동작구,28,523
2019,마포구,69,913
2019,서대문구,30,275
2019,서초구,14,18
2019,성동구,98,746
2019,성북구,109,1035
2019,양천구,55,676
2019,영등포구,6,952
2019,용산구,71,735
2019,은평구,132,453
2019,중랑구,72,932
2020,강남구,120,910
2020,강동구,89,972
2020,강서구,33,768
2020,관악구,57,1013
2020,광진구,31,777
2020,구로구,116,912
2020,금천구,89,659
2020,도봉구,40,779
2020,동대문구,66,754
2020,동작구,44,567
2020,마포구,64,977
2020,서대문구,58,333
2020,성동구,95,841
2020,성북구,51,1086
2020,송파구,880,880
2020,양천구,33,709
2020,영등포구,144,1096
2020,용산구,200,935
2020,은평구,71,524
2020,중랑구,105,1037
2021,강남구,452,1362
2021,강동구,65,1037
2021,강서구,111,879
2021,관악구,66,1079
2021,광진구,97,874
2021,구로구,128,1040
2021,금천구,8,667
2021,노원구,1,62
2021,도봉구,85,864
2021,동대문구,36,790
2021,동작구,9,576
2021,마포구,37,1014
2021,서대문구,29,362
2021,서초구,16,34
2021,성동구,34,875
2021,성북구,92,1178
2021,송파구,1,881
2021,양천구,24,733
2021,영등포구,36,1132
2021,용산구,169,1104
2021,은평구,37,561
2021,종로구,5,99
2021,중랑구,126,1163
2022,강남구,110,1472
2022,강서구,70,949
2022,관악구,4,1083
2022,광진구,53,927
2022,구로구,44,1084
2022,금천구,42,709
2022,노원구,1,63
2022,도봉구,34,898
2022,동대문구,57,847
2022,동작구,51,627
2022,마포구,18,1032
2022,서대문구,77,439
2022,서초구,18,52
2022,성동구,25,900
2022,성북구,67,1245
2022,양천구,54,787
2022,영등포구,36,1168
2022,용산구,159,1263
2022,은평구,50,611
2022,중랑구,105,1268
2023,강남구,106,1578
2023,강서구,73,1022
2023,관악구,16,1099
2023,광진구,81,1008
2023,구로구,81,1165
2023,노원구,1,64
2023,도봉구,79,977
2023,동대문구,115,962
2023,마포구,120,1152
2023,서대문구,58,497
2023,성북구,84,1329
2023,영등포구,27,1195
2023,용산구,147,1410
2023,중랑구,78,1346
2024,강남구,135,1713
2024,강서구,134,1156
2024,관악구,180,1279
2024,광진구,106,1114
2024,구로구,158,1323
2024,도봉구,74,1051
2024,동대문구,51,1013
2024,마포구,116,1268
2024,서대문구,208,705
2024,성북구,176,1505
2024,영등포구,49,1244
2024,용산구,11,1421
2024,중랑구,174,1520
2025,광진구,5,1119
2025,구로구,119,1442
2025,도봉구,20,1071
2025,서대문구,18,723
2025,성북구,14,1519
2025,영등포구,35,1279
2025,중구,744,744
