region,year,total
강남구,2014,8851
강남구,2015,8617
강남구,2016,8149
강남구,2017,7720
강남구,2018,7513
강남구,2019,7304
강남구,2020,7356
강남구,2021,6146
강남구,2022,6947
강남구,2023,6763
강남구,2024,6107
강동구,2014,5392
강동구,2015,5244
강동구,2016,4462
강동구,2017,4261
강동구,2018,3919
강동구,2019,4014
강동구,2020,3788
강동구,2021,3458
강동구,2022,3711
강동구,2023,3398
강동구,2024,3350
강북구,2014,4030
강북구,2015,4257
강북구,2016,4229
강북구,2017,3393
강북구,2018,3437
강북구,2019,3838
강북구,2020,2770
강북구,2021,2301
강북구,2022,2832
강북구,2023,2497
강북구,2024,2289
강서구,2014,5289
강서구,2015,5585
강서구,2016,5450
강서구,2017,5135
강서구,2018,4629
강서구,2019,4924
강서구,2020,4415
강서구,2021,3896
강서구,2022,4663
강서구,2023,4296
강서구,2024,4008
관악구,2014,6781
관악구,2015,6345
관악구,2016,5678
관악구,2017,5525
관악구,2018,5026
관악구,2019,5328
관악구,2020,5261
관악구,2021,4444
관악구,2022,4879
관악구,2023,4769
관악구,2024,4485
광진구,2014,6268
광진구,2015,5909
광진구,2016,5322
광진구,2017,4646
광진구,2018,3915
광진구,2019,4011
광진구,2020,3601
광진구,2021,3087
광진구,2022,3619
광진구,2023,3424
광진구,2024,2870
구로구,2014,5389
구로구,2015,5646
구로구,2016,5366
구로구,2017,4895
구로구,2018,4810
구로구,2019,4707
구로구,2020,4175
구로구,2021,3486
구로구,2022,3857
구로구,2023,3737
구로구,2024,3378
금천구,2014,3842
금천구,2015,3781
금천구,2016,3645
금천구,2017,3265
금천구,2018,3293
금천구,2019,3105
금천구,2020,2598
금천구,2021,2439
금천구,2022,2577
금천구,2023,2240
금천구,2024,2017
노원구,2014,5312
노원구,2015,5130
노원구,2016,4543
노원구,2017,4209
노원구,2018,4007
노원구,2019,4153
노원구,2020,3743
노원구,2021,3425
노원구,2022,3896
노원구,2023,3567
노원구,2024,3101
도봉구,2014,3124
도봉구,2015,2664
도봉구,2016,2438
도봉구,2017,1999
도봉구,2018,2249
도봉구,2019,2110
도봉구,2020,2179
도봉구,2021,1860
도봉구,2022,2141
도봉구,2023,1921
도봉구,2024,1741
동대문구,2014,4363
동대문구,2015,4720
동대문구,2016,4787
동대문구,2017,3975
동대문구,2018,3680
동대문구,2019,3692
동대문구,2020,3401
동대문구,2021,2959
동대문구,2022,3253
동대문구,2023,2957
동대문구,2024,3216
동작구,2014,3869
동작구,2015,4074
동작구,2016,3227
동작구,2017,3330
동작구,2018,3100
동작구,2019,3400
동작구,2020,3200
동작구,2021,2631
동작구,2022,2735
동작구,2023,2642
동작구,2024,2454
마포구,2014,5740
마포구,2015,5854
마포구,2016,5873
마포구,2017,5278
마포구,2018,5172
마포구,2019,4842
마포구,2020,3688
마포구,2021,3540
마포구,2022,4096
마포구,2023,3834
마포구,2024,3891
서대문구,2014,4194
서대문구,2015,4029
서대문구,2016,3665
서대문구,2017,3113
서대문구,2018,2802
서대문구,2019,2943
서대문구,2020,2533
서대문구,2021,2278
서대문구,2022,2374
서대문구,2023,2385
서대문구,2024,2054
서초구,2014,5558
서초구,2015,5444
서초구,2016,4989
서초구,2017,4708
서초구,2018,4726
서초구,2019,5542
서초구,2020,4601
서초구,2021,3656
서초구,2022,4459
서초구,2023,4522
서초구,2024,3788
성동구,2014,3582
성동구,2015,3358
성동구,2016,3026
성동구,2017,2767
성동구,2018,2457
성동구,2019,2512
성동구,2020,2362
성동구,2021,2112
성동구,2022,2194
성동구,2023,2023
성동구,2024,2117
성북구,2014,4606
성북구,2015,4154
성북구,2016,3744
성북구,2017,3434
성북구,2018,3042
성북구,2019,2877
성북구,2020,2567
성북구,2021,2411
성북구,2022,2749
성북구,2023,2411
성북구,2024,2184
송파구,2014,8004
송파구,2015,6778
송파구,2016,6090
송파구,2017,5576
송파구,2018,5807
송파구,2019,5698
송파구,2020,5410
송파구,2021,4714
송파구,2022,5167
송파구,2023,5223
송파구,2024,5174
양천구,2014,4642
양천구,2015,4528
양천구,2016,4112
양천구,2017,3882
양천구,2018,3515
양천구,2019,3214
양천구,2020,3216
양천구,2021,3015
양천구,2022,3169
양천구,2023,3019
양천구,2024,3000
영등포구,2014,7003
영등포구,2015,6867
영등포구,2016,6322
영등포구,2017,5969
영등포구,2018,5840
영등포구,2019,5820
영등포구,2020,5217
영등포구,2021,4179
영등포구,2022,4819
영등포구,2023,4418
영등포구,2024,4167
용산구,2014,3799
용산구,2015,3820
용산구,2016,4137
용산구,2017,4060
용산구,2018,3411
용산구,2019,3313
용산구,2020,2969
용산구,2021,2381
용산구,2022,2967
용산구,2023,3021
용산구,2024,3322
은평구,2014,5431
은평구,2015,4745
은평구,2016,4501
은평구,2017,3883
은평구,2018,3590
은평구,2019,3880
은평구,2020,3390
은평구,2021,3244
은평구,2022,3487
은평구,2023,3493
은평구,2024,3217
중구,2014,5231
중구,2015,4954
중구,2016,4584
중구,2017,4184
중구,2018,4030
중구,2019,4327
중구,2020,3411
중구,2021,2861
중구,2022,3071
중구,2023,3348
중구,2024,2955
중랑구,2014,5353
중랑구,2015,5193
중랑구,2016,5041
중랑구,2017,4571
중랑구,2018,4288
중랑구,2019,4268
중랑구,2020,3726
중랑구,2021,3210
중랑구,2022,3599
중랑구,2023,3324
중랑구,2024,3169
