region,year,cumulative_cctv
종로구,2015,935
중구,2015,363
용산구,2015,1398
성동구,2015,1089
광진구,2015,638
동대문구,2015,1202
중랑구,2015,751
성북구,2015,1035
강북구,2015,608
도봉구,2015,345
노원구,2015,956
은평구,2015,1719
서대문구,2015,952
마포구,2015,623
양천구,2015,1898
강서구,2015,801
구로구,2015,1407
금천구,2015,990
영등포구,2015,904
동작구,2015,961
관악구,2015,1496
서초구,2015,1548
강남구,2015,2319
송파구,2015,713
강동구,2015,670
종로구,2016,1066
중구,2016,565
용산구,2016,1689
성동구,2016,1328
광진구,2016,657
동대문구,2016,1425
중랑구,2016,898
성북구,2016,1534
강북구,2016,840
도봉구,2016,443
노원구,2016,1268
은평구,2016,2075
서대문구,2016,1179
마포구,2016,970
양천구,2016,2026
강서구,2016,960
구로구,2016,1719
금천구,2016,1090
영등포구,2016,1140
동작구,2016,1200
관악구,2016,2048
서초구,2016,1785
강남구,2016,3447
송파구,2016,798
강동구,2016,863
종로구,2017,1225
중구,2017,838
용산구,2017,1831
성동구,2017,2103
광진구,2017,1112
동대문구,2017,1535
중랑구,2017,1047
성북구,2017,1940
강북구,2017,841
도봉구,2017,542
노원구,2017,1433
은평구,2017,2310
서대문구,2017,1525
마포구,2017,1328
양천구,2017,2367
강서구,2017,1164
구로구,2017,2231
금천구,2017,1181
영등포구,2017,1429
동작구,2017,1471
관악구,2017,2611
서초구,2017,2169
강남구,2017,4232
송파구,2017,913
강동구,2017,1134
종로구,2018,1322
중구,2018,1174
용산구,2018,1888
성동구,2018,2390
광진구,2018,1586
동대문구,2018,1775
중랑구,2018,1203
성북구,2018,2542
강북구,2018,1159
도봉구,2018,679
노원구,2018,1577
은평구,2018,2669
서대문구,2018,1764
마포구,2018,1703
양천구,2018,2655
강서구,2018,1386
구로구,2018,2819
금천구,2018,1563
영등포구,2018,2055
동작구,2018,1690
관악구,2018,3247
서초구,2018,2582
강남구,2018,4834
송파구,2018,1364
강동구,2018,1596
종로구,2019,1327
중구,2019,1242
용산구,2019,1915
성동구,2019,2833
광진구,2019,2308
동대문구,2019,2061
중랑구,2019,2250
성북구,2019,3238
강북구,2019,1656
도봉구,2019,835
노원구,2019,1763
은평구,2019,3141
서대문구,2019,2100
마포구,2019,2011
양천구,2019,2928
강서구,2019,1858
구로구,2019,3074
금천구,2019,1894
영등포구,2019,2093
동작구,2019,1904
관악구,2019,3388
서초구,2019,2938
강남구,2019,5459
송파구,2019,2052
강동구,2019,1871
종로구,2020,1510
중구,2020,1482
용산구,2020,2058
성동구,2020,3162
광진구,2020,2481
동대문구,2020,2166
중랑구,2020,3165
성북구,2020,3440
강북구,2020,2337
도봉구,2020,1189
노원구,2020,2034
은평구,2020,3431
서대문구,2020,2499
마포구,2020,2268
양천구,2020,3136
강서구,2020,2346
구로구,2020,3455
금천구,2020,2247
영등포구,2020,3250
동작구,2020,2155
관악구,2020,3652
서초구,2020,3175
강남구,2020,5796
송파구,2020,2372
강동구,2020,2475
종로구,2021,1573
중구,2021,1911
용산구,2021,2321
성동구,2021,3519
광진구,2021,3111
동대문구,2021,2471
중랑구,2021,3592
성북구,2021,3815
강북구,2021,2960
도봉구,2021,1684
노원구,2021,2171
은평구,2021,3822
서대문구,2021,2591
마포구,2021,2372
양천구,2021,3393
강서구,2021,2637
구로구,2021,3842
금천구,2021,2276
영등포구,2021,3508
동작구,2021,2181
관악구,2021,3833
서초구,2021,3442
강남구,2021,6143
송파구,2021,2520
강동구,2021,2720
종로구,2022,1812
중구,2022,2026
용산구,2022,2531
성동구,2022,3627
광진구,2022,3370
동대문구,2022,2592
중랑구,2022,3856
성북구,2022,4014
강북구,2022,3184
도봉구,2022,1994
노원구,2022,2284
은평구,2022,4103
서대문구,2022,2928
마포구,2022,2500
양천구,2022,3627
강서구,2022,3151
구로구,2022,4013
금천구,2022,2498
영등포구,2022,3896
동작구,2022,2404
관악구,2022,4029
서초구,2022,3180
강남구,2022,6495
송파구,2022,2805
강동구,2022,3086
종로구,2023,1872
중구,2023,2157
용산구,2023,2897
성동구,2023,3871
광진구,2023,3421
동대문구,2023,3077
중랑구,2023,4163
성북구,2023,4216
강북구,2023,3191
도봉구,2023,2196
노원구,2023,2613
은평구,2023,4369
서대문구,2023,3117
마포구,2023,3015
양천구,2023,4064
강서구,2023,3397
구로구,2023,4265
금천구,2023,2978
영등포구,2023,3987
동작구,2023,2656
관악구,2023,4210
서초구,2023,3343
강남구,2023,6829
송파구,2023,3471
강동구,2023,3435
종로구,2024,2154
중구,2024,2567
용산구,2024,3202
성동구,2024,4084
광진구,2024,4370
동대문구,2024,3602
중랑구,2024,5009
성북구,2024,4479
강북구,2024,3430
도봉구,2024,2623
노원구,2024,3694
은평구,2024,5057
서대문구,2024,3438
마포구,2024,3662
양천구,2024,4464
강서구,2024,3733
구로구,2024,4909
금천구,2024,3252
영등포구,2024,4500
동작구,2024,3322
관악구,2024,4907
서초구,2024,3916
강남구,2024,7267
송파구,2024,4022
강동구,2024,4095
종로구,2025,2732
중구,2025,2714
용산구,2025,3218
성동구,2025,4122
광진구,2025,4479
동대문구,2025,3602
중랑구,2025,5009
성북구,2025,4764
강북구,2025,4168
도봉구,2025,2631
노원구,2025,3697
은평구,2025,5046
서대문구,2025,3658
마포구,2025,3697
양천구,2025,4464
강서구,2025,4187
구로구,2025,5070
금천구,2025,3372
영등포구,2025,4539
동작구,2025,3632
관악구,2025,5871
서초구,2025,3916
강남구,2025,7277
송파구,2025,4032
강동구,2025,4342
