연도,구,당해연도_등록수,누적_유흥주점수
1976,강남구,1,1
1982,강남구,2,3
1983,강남구,2,5
1984,강남구,2,7
1985,강남구,3,10
1986,강남구,3,13
1987,강남구,7,20
1988,강남구,2,22
1989,강남구,2,24
1990,강남구,1,25
1991,강남구,2,27
1999,강남구,10,37
2000,강남구,17,54
2001,강남구,10,64
2002,강남구,8,72
2003,강남구,4,76
2004,강남구,3,79
2005,강남구,4,83
2006,강남구,7,90
2007,강남구,5,95
2008,강남구,5,100
2009,강남구,8,108
2010,강남구,5,113
2011,강남구,5,118
2012,강남구,1,119
2013,강남구,1,120
2014,강남구,1,121
2015,강남구,5,126
2016,강남구,6,132
2017,강남구,1,133
2018,강남구,3,136
2019,강남구,8,144
2020,강남구,6,150
2021,강남구,6,156
2022,강남구,2,158
2023,강남구,2,160
2024,강남구,5,165
2025,강남구,1,166
1975,강동구,1,1
1980,강동구,4,5
1983,강동구,1,6
1984,강동구,2,8
1985,강동구,2,10
1986,강동구,2,12
1990,강동구,3,15
1999,강동구,5,20
2000,강동구,10,30
2001,강동구,9,39
2002,강동구,5,44
2003,강동구,5,49
2004,강동구,2,51
2005,강동구,1,52
2006,강동구,5,57
2007,강동구,1,58
2008,강동구,4,62
2009,강동구,5,67
2010,강동구,6,73
2011,강동구,11,84
2012,강동구,4,88
2013,강동구,3,91
2014,강동구,3,94
2015,강동구,1,95
2019,강동구,1,96
2020,강동구,1,97
2022,강동구,1,98
1971,강북구,1,1
1973,강북구,1,2
1980,강북구,1,3
1986,강북구,1,4
1990,강북구,1,5
1993,강북구,1,6
2000,강북구,9,15
2001,강북구,10,25
2002,강북구,1,26
2003,강북구,3,29
2005,강북구,1,30
2006,강북구,1,31
2007,강북구,2,33
2008,강북구,4,37
2009,강북구,4,41
2010,강북구,2,43
2011,강북구,2,45
2013,강북구,2,47
2014,강북구,1,48
2015,강북구,1,49
2016,강북구,1,50
2017,강북구,2,52
2018,강북구,1,53
2019,강북구,2,55
2020,강북구,2,57
2021,강북구,4,61
2022,강북구,3,64
2023,강북구,1,65
2024,강북구,4,69
1977,강서구,1,1
1978,강서구,2,3
1979,강서구,3,6
1980,강서구,2,8
1983,강서구,1,9
1984,강서구,2,11
1985,강서구,3,14
1986,강서구,1,15
1987,강서구,1,16
1988,강서구,2,18
1989,강서구,3,21
1990,강서구,2,23
1992,강서구,1,24
1993,강서구,1,25
1999,강서구,6,31
2000,강서구,12,43
2001,강서구,6,49
2002,강서구,2,51
2004,강서구,2,53
2007,강서구,2,55
2008,강서구,3,58
2009,강서구,3,61
2010,강서구,2,63
2012,강서구,4,67
2013,강서구,2,69
2015,강서구,6,75
2016,강서구,2,77
2017,강서구,15,92
2018,강서구,13,105
2019,강서구,4,109
2020,강서구,4,113
2021,강서구,1,114
2022,강서구,5,119
2023,강서구,5,124
2024,강서구,1,125
2025,강서구,1,126
1976,관악구,1,1
1977,관악구,4,5
1978,관악구,2,7
1979,관악구,1,8
1980,관악구,3,11
1986,관악구,1,12
1987,관악구,1,13
1999,관악구,19,32
2000,관악구,22,54
2001,관악구,22,76
2002,관악구,11,87
2003,관악구,4,91
2004,관악구,5,96
2005,관악구,3,99
2006,관악구,4,103
2007,관악구,3,106
2008,관악구,5,111
2009,관악구,11,122
2010,관악구,9,131
2011,관악구,5,136
2012,관악구,6,142
2013,관악구,4,146
2014,관악구,3,149
2015,관악구,4,153
2016,관악구,4,157
2017,관악구,5,162
2019,관악구,7,169
2021,관악구,1,170
2022,관악구,5,175
2023,관악구,6,181
2024,관악구,7,188
2025,관악구,2,190
1974,광진구,1,1
1976,광진구,2,3
1977,광진구,2,5
1979,광진구,2,7
1980,광진구,2,9
1981,광진구,1,10
1979,구로구,3,3
1986,구로구,1,4
1996,구로구,1,5
1999,구로구,2,7
2000,구로구,1,8
2001,구로구,5,13
2002,구로구,1,14
2004,구로구,1,15
2005,구로구,1,16
2008,구로구,1,17
2011,구로구,2,19
2012,구로구,2,21
2013,구로구,3,24
2014,구로구,4,28
2018,구로구,2,30
2019,구로구,1,31
2023,구로구,1,32
1973,금천구,1,1
1978,금천구,5,6
1979,금천구,1,7
1980,금천구,7,14
1986,금천구,1,15
1991,금천구,1,16
1999,금천구,5,21
2000,금천구,9,30
2001,금천구,1,31
2002,금천구,2,33
2003,금천구,3,36
2005,금천구,1,37
2006,금천구,1,38
2008,금천구,1,39
2010,금천구,2,41
2012,금천구,1,42
2017,금천구,1,43
2024,금천구,1,44
1989,노원구,1,1
1999,노원구,4,5
2000,노원구,3,8
2001,노원구,2,10
2002,노원구,2,12
2003,노원구,3,15
2005,노원구,2,17
2009,노원구,1,18
2012,노원구,1,19
2018,노원구,1,20
1999,도봉구,2,2
2000,도봉구,2,4
2001,도봉구,2,6
2002,도봉구,2,8
2007,도봉구,4,12
2011,도봉구,1,13
2012,도봉구,3,16
2015,도봉구,1,17
2017,도봉구,1,18
2018,도봉구,1,19
2024,도봉구,1,20
2025,도봉구,1,21
1971,동대문구,1,1
1973,동대문구,1,2
1975,동대문구,1,3
1976,동대문구,1,4
1982,동대문구,1,5
1983,동대문구,1,6
1984,동대문구,7,13
1985,동대문구,2,15
1990,동대문구,1,16
1992,동대문구,1,17
1999,동대문구,2,19
2000,동대문구,7,26
2001,동대문구,4,30
2003,동대문구,1,31
2004,동대문구,1,32
2007,동대문구,2,34
2008,동대문구,1,35
2009,동대문구,2,37
2010,동대문구,3,40
2012,동대문구,2,42
2014,동대문구,2,44
2015,동대문구,1,45
2018,동대문구,1,46
2019,동대문구,2,48
2020,동대문구,1,49
2024,동대문구,1,50
1973,동작구,1,1
1975,동작구,1,2
1980,동작구,1,3
1989,동작구,1,4
1993,동작구,2,6
1994,동작구,7,13
1999,동작구,9,22
2000,동작구,10,32
2001,동작구,3,35
2002,동작구,4,39
2018,동작구,2,41
1994,마포구,1,1
1999,마포구,7,8
2000,마포구,8,16
2001,마포구,7,23
2002,마포구,2,25
2005,마포구,1,26
2006,마포구,1,27
2007,마포구,1,28
2008,마포구,2,30
2009,마포구,1,31
2011,마포구,1,32
2015,마포구,1,33
2016,마포구,1,34
2017,마포구,2,36
2021,마포구,3,39
2024,마포구,2,41
2025,마포구,1,42
1972,서대문구,2,2
1973,서대문구,2,4
1974,서대문구,1,5
1975,서대문구,1,6
1977,서대문구,1,7
1979,서대문구,1,8
1982,서대문구,1,9
1983,서대문구,1,10
1984,서대문구,1,11
1986,서대문구,1,12
1987,서대문구,1,13
1989,서대문구,1,14
1991,서대문구,2,16
2000,서대문구,3,19
2001,서대문구,2,21
2002,서대문구,1,22
2003,서대문구,1,23
2008,서대문구,1,24
2011,서대문구,1,25
2013,서대문구,1,26
2024,서대문구,1,27
1978,서초구,2,2
1980,서초구,2,4
1982,서초구,4,8
1983,서초구,1,9
1986,서초구,1,10
1990,서초구,1,11
1992,서초구,2,13
1993,서초구,1,14
1999,서초구,2,16
2000,서초구,2,18
2001,서초구,4,22
2004,서초구,1,23
2007,서초구,2,25
2009,서초구,2,27
2010,서초구,3,30
2011,서초구,1,31
2012,서초구,1,32
2013,서초구,1,33
2014,서초구,1,34
2023,서초구,2,36
1977,성동구,2,2
1980,성동구,2,4
1981,성동구,1,5
2000,성동구,2,7
2001,성동구,5,12
2003,성동구,1,13
2005,성동구,1,14
2009,성동구,1,15
2010,성동구,1,16
2011,성동구,1,17
2013,성동구,1,18
2014,성동구,1,19
2016,성동구,1,20
1973,성북구,1,1
1974,성북구,2,3
2001,성북구,1,4
2004,성북구,1,5
2005,성북구,2,7
2011,성북구,1,8
1980,송파구,1,1
1988,송파구,1,2
1989,송파구,2,4
1990,송파구,1,5
1993,송파구,1,6
1994,송파구,1,7
1999,송파구,4,11
2000,송파구,8,19
2001,송파구,7,26
2002,송파구,5,31
2003,송파구,2,33
2004,송파구,2,35
2005,송파구,1,36
2006,송파구,3,39
2007,송파구,1,40
2009,송파구,1,41
2010,송파구,2,43
2011,송파구,6,49
2012,송파구,2,51
2013,송파구,2,53
2014,송파구,5,58
2015,송파구,8,66
2016,송파구,6,72
2017,송파구,4,76
2018,송파구,1,77
2019,송파구,1,78
2021,송파구,2,80
2022,송파구,1,81
2023,송파구,3,84
2024,송파구,3,87
2025,송파구,1,88
1978,양천구,2,2
1979,양천구,1,3
1977,영등포구,1,1
1978,영등포구,3,4
1979,영등포구,1,5
1980,영등포구,2,7
1984,영등포구,1,8
1985,영등포구,2,10
1986,영등포구,1,11
1987,영등포구,1,12
1988,영등포구,1,13
1993,영등포구,1,14
1997,영등포구,1,15
1998,영등포구,1,16
1999,영등포구,3,19
2000,영등포구,10,29
2001,영등포구,16,45
2002,영등포구,5,50
2003,영등포구,5,55
2004,영등포구,3,58
2005,영등포구,9,67
2006,영등포구,5,72
2007,영등포구,4,76
2008,영등포구,8,84
2009,영등포구,4,88
2010,영등포구,6,94
2011,영등포구,4,98
2012,영등포구,3,101
2013,영등포구,1,102
2014,영등포구,4,106
2015,영등포구,1,107
2017,영등포구,2,109
2018,영등포구,2,111
2019,영등포구,2,113
2020,영등포구,2,115
2021,영등포구,6,121
2022,영등포구,5,126
2023,영등포구,1,127
2024,영등포구,2,129
2025,영등포구,2,131
1967,용산구,2,2
1968,용산구,1,3
1972,용산구,1,4
1973,용산구,1,5
1977,용산구,1,6
1985,용산구,1,7
1989,용산구,1,8
1999,용산구,2,10
2000,용산구,3,13
2001,용산구,2,15
2002,용산구,1,16
2004,용산구,1,17
2012,용산구,2,19
2013,용산구,1,20
2016,용산구,1,21
1973,은평구,3,3
1974,은평구,1,4
